"FAHHNFC_ACCOUNT","Rekening","FAHHNFC_SECTOR","Institutionele sector","FAHHNFC_INSTRUMENT","Financieel instrument","FREQUENCY","Frequentie","TIME","Periode","Value","Flag Codes","Flags"
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2004-Q1","2004Q1",514,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2005-Q1","2005Q1",1876,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2005-Q2","2005Q2",48,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2006-Q2","2006Q2",179,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2007-Q2","2007Q2",-126,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2008-Q2","2008Q2",-123,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2009-Q2","2009Q2",119,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","1999-Q2","1999Q2",-15,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2000-Q1","2000Q1",34,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2000-Q2","2000Q2",34,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2001-Q3","2001Q3",36,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2001-Q4","2001Q4",51,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2002-Q3","2002Q3",131,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2002-Q4","2002Q4",-122,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2003-Q4","2003Q4",-1,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2004-Q4","2004Q4",-105,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2005-Q4","2005Q4",111,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2006-Q1","2006Q1",90,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2006-Q4","2006Q4",124,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2007-Q1","2007Q1",125,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2008-Q1","2008Q1",211,,
