time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi_collector!,total_demurrage_collector!
696,10000,509841615.9816,62874,7.1223,35339.1596,261310140.0000,260823475.6320,260823475.6320,[1.4775] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526305.4331
708,10000,509836038.6395,62655,18.3842,33333.4183,261310140.0000,261759006.1141,261759006.1141,[1.4791] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525402.2480
720,10000,509880387.4221,62645,20.1069,34665.7065,261310140.0000,261739695.5005,261739695.5005,[1.4792] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525295.9918
732,10000,509842330.1800,62889,16.0720,33575.7077,261310140.0000,261753888.1572,261753888.1572,[1.4792] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524507.7206
744,10000,509859784.1932,62687,54.0337,34302.1363,261310140.0000,261373731.9860,261373731.9860,[1.4813] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526839.3099
756,10000,509857829.3710,62746,9.6526,35286.6871,261310140.0000,261980207.7403,261980207.7403,[1.4779] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149523801.3404
768,10000,509825041.4364,63005,18.3749,31866.6495,261310140.0000,261876834.8428,261876834.8428,[1.4785] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526805.3756
780,10000,509827688.4112,62742,13.5420,34425.5932,261310140.0000,261914874.9881,261914874.9881,[1.4782] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149530067.2843
792,10000,509847711.6772,62707,11.3887,34216.0278,261310140.0000,261902500.1287,261902500.1287,[1.4783] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524006.5665
804,10000,509825341.8069,62735,15.6144,35558.2976,261310140.0000,261797981.5725,261797981.5725,[1.4789] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149523146.7492
